iso3_d,trade_actual,trade_predicted,n_years,gdp_d_last,potential_ratio,gap_usd,gap_pct,classification
TTO,198928189.63272223,59773774.23684604,18,22474828527.1775,0.3004791545492137,-139154415.3958762,-69.95208454507863,Sur-exploité
MYS,551342827.061611,409901524.6046774,18,318958236443.122,0.743460338079037,-141441302.45693368,-25.6539661920963,Sur-exploité
CHE,965941180.0741111,805560872.1695516,18,679950915261.1221,0.8339647266179764,-160380307.9045595,-16.603527338202355,Équilibre
AUS,1409436117.3355556,1243018366.597895,18,1330135756844.41,0.8819260066555821,-166417750.73766065,-11.807399334441794,Équilibre
SGP,686688771.0517777,380597221.0177916,18,338406474038.67,0.5542499558203695,-306091550.0339861,-44.57500441796305,Sur-exploité
ARE,958973608.6554445,447463736.8118818,18,377701060177.47,0.4666069355540041,-511509871.8435627,-53.339306444599586,Sur-exploité
NLD,2441596832.463667,1201088879.6311157,18,831809944960.879,0.4919276039603844,-1240507952.8325512,-50.80723960396156,Sur-exploité
KOR,2696088236.6811113,1347209157.2117825,18,1530750923148.7,0.4996903064531,-1348879079.4693289,-50.03096935469,Sur-exploité
HKG,1792427300.7319999,413345854.06615806,18,341687111841.092,0.23060676095334742,-1379081446.6658418,-76.93932390466526,Sur-exploité
BEL,2021606324.0184445,635140474.9597006,18,503004504395.42896,0.3141761417214016,-1386465849.058744,-68.58238582785984,Sur-exploité
MEX,3790378196.559611,1770495422.897251,18,1157736189998.15,0.4671025768627166,-2019882773.66236,-53.28974231372834,Sur-exploité
JPN,8081087840.541889,5241964332.128703,18,4859950558538.97,0.6486706289505195,-2839123508.413186,-35.13293710494804,Sur-exploité
CHN,9910234200.963833,5920699398.106973,18,12143491448186.1,0.5974328434671249,-3989534802.85686,-40.256715653287515,Sur-exploité
GBR,10605543111.486946,2443884636.53736,18,2666229179958.01,0.23043465203496932,-8161658474.949586,-76.95653479650308,Sur-exploité
