scenario,impact_total_usd
ALE Canada-ASEAN,3084652869.465655
ALE Canada-Mercosur,2349627699.6998377
ALE Canada-Inde,2656746780.8907423
Sanctions Russie,-1247290496.7027044
Récession Chine,-383816419.1236057
Boom Afrique,202797077.29477963
